,חדרים,קומה,"מ""ר",מצב הנכס,קומות בבנין,מרפסות,חניות,סוג נכס,שכונה,עיר,תיווך,מיזוג,סורגים,מעלית,מטבח כשר,דוד שמש,גישה לנכים,"ממ""ד",משופצת,מחסן,מזגן תדיראן,ריהוט,גמיש,מחיר
0,5,8,128,משופץ,9,2,2,דירה, קרית השרון, נתניה,0,1,1,1,,1,1,1,1,1,1,1,1,"3,250,000 ₪"
1,5,20,132,חדש,28,1,2,דירה, אגמים, נתניה,0,1,0,1,,0,1,1,1,1,1,1,1,"3,950,000 ₪"
2,5,1,140,משופץ,14,1,2,דירה, קרית השרון, נתניה,0,1,1,1,,0,1,1,1,1,0,0,0,"3,390,000 ₪"
3,3,קרקע,90,במצב שמור,3,1,1,דירת גן, קרית נורדאו, נתניה,,1,1,1,0,1,1,1,0,1,0,0,0,"1,950,000 ₪"
4,5,6,370,משופץ,7,3,2,גג/פנטהאוז, נאות הרצל, נתניה,,1,0,1,0,1,1,1,1,1,0,0,0,"3,200,000 ₪"
5,3,קרקע,650,דרוש שיפוץ,,2,ללא,בית פרטי/קוטג', רמת חן ובן ציון, נתניה,,0,0,0,0,0,0,0,0,0,0,0,0,לא צוין מחיר
6,4.5,15,165,חדש,34,1,2,דירה, עיר ימים, נתניה,,1,0,1,0,0,0,1,0,1,0,0,0,"9,200,000 ₪"
7,5,1,132,במצב שמור,8,1,1,דירה, רמת פולג, נתניה,,1,0,1,0,1,0,1,0,0,1,0,0,"3,400,000 ₪"
8,4,5,100,במצב שמור,8,1,2,דירה, קרית השרון, נתניה,,1,0,1,0,1,1,1,0,0,0,0,0,"2,400,000 ₪"
9,4,4,105,משופץ,6,,1,דירה, צפון מזרח מרכז העיר, נתניה,,1,1,1,0,1,0,0,1,0,1,1,1,לא צוין מחיר
10,5,2,132,משופץ,7,1,2,דירה, אגמים, נתניה,,1,1,1,0,1,1,1,1,0,0,1,1,"3,220,000 ₪"
11,5,1,130,משופץ,7,1,2,דירה, מרכז העיר דרום, נתניה,,1,0,1,0,0,0,1,1,0,0,0,0,"2,625,000 ₪"
12,3.5,4,116,במצב שמור,8,,ללא,דירה, צפון מזרח מרכז העיר, נתניה,,1,0,1,0,1,0,0,0,0,0,0,0,"1,700,000 ₪"
13,4.5,4,115,משופץ,6,,1,דירה, מרכז העיר דרום, נתניה,,1,0,1,0,0,0,0,0,0,1,0,0,"2,500,000 ₪"
14,3,1,100,במצב שמור,8,,ללא,דירה, מרכז העיר דרום, נתניה,,1,0,1,0,0,1,0,0,0,0,0,0,"2,400,000 ₪"
15,4,3,90,במצב שמור,3,1,1,גג/פנטהאוז, גבעת האירוסים, נתניה,,1,1,1,0,1,0,0,0,0,1,0,0,"2,500,000 ₪"
16,4,11,122,משופץ,20,,ללא,דירה, נוף הטיילת, נתניה,,1,0,0,0,0,0,0,1,0,0,0,0,"3,500,000 ₪"
17,3,4,95,במצב שמור,7,1,2,דירה, קרית השרון, נתניה,,1,0,1,0,1,1,1,0,1,1,0,0,"2,500,000 ₪"
18,5,5,132,משופץ,9,,ללא,דירה, צפון מערב מרכז העיר, נתניה,,1,0,1,1,1,1,0,1,0,0,0,0,"2,300,000 ₪"
19,5,5,170,חדש,20,1,2,דירה, עיר ימים, נתניה,,1,0,1,0,0,1,1,0,1,1,0,0,"4,650,000 ₪"
20,4,2,100,משופץ,3,,1,דירה, קרית רבין, נתניה,,1,0,0,0,1,0,1,1,0,0,0,0,"1,800,000 ₪"
21,6,קרקע,554,משופץ,,3,3,דו משפחתי ,,נתניה,1,1,0,0,,0,0,0,1,1,0,0,0,"8,490,000 ₪"
22,5,7,141,משופץ,28,1,2,דירה, צפון מערב מרכז העיר, נתניה,0,1,0,1,,0,1,1,1,1,1,0,0,"3,550,000 ₪"
23,3,1,108,חדש מקבלן,4,1,1,דירה, רמת אפרים, נתניה,0,1,0,1,,0,1,1,0,1,1,0,0,לא צוין מחיר
24,5,14,144,חדש,20,1,2,דירה, עיר ימים, נתניה,0,1,1,1,,0,1,1,1,1,1,1,1,"4,800,001 ₪"
25,5,3,148,חדש,23,1,2,דירה, נתניה, נתניה,0,1,1,1,,0,1,1,1,1,0,0,0,"4,290,000 ₪"
26,5,2,126,חדש,17,1,2,דירה, אגמים, נתניה,0,1,0,1,,1,1,1,1,1,1,0,0,"3,220,000 ₪"
27,5,6,133,חדש,9,1,2,דירה, נתניה, נתניה,0,1,0,1,,1,1,1,0,1,0,0,0,"3,250,000 ₪"
28,5,4,125,משופץ,9,1,1,דירה, רמת פולג, נתניה,0,1,1,1,,1,1,1,1,1,1,0,0,"3,250,000 ₪"
29,4,קרקע,220,חדש,22,1,2,דירה, נוף הטיילת, נתניה,0,1,1,1,,1,1,1,1,1,1,1,1,"6,600,000 ₪"
30,7,קרקע,250,במצב שמור,,1,1,דו משפחתי, צפון מזרח מרכז העיר, נתניה,0,1,0,0,,0,0,1,0,0,0,0,0,"3,120,000 ₪"
31,5,קרקע,187,חדש מקבלן,,2,2,בית פרטי/קוטג', נתניה, נתניה,0,1,0,1,,1,1,1,1,1,1,0,0,"10,000,000 ₪"
32,4,20,200,משופץ,21,1,2,גג/פנטהאוז, עיר ימים, נתניה,0,1,0,1,,0,1,1,1,1,1,1,1,"6,800,000 ₪"
33,6,קרקע,300,במצב שמור,,1,1,דו משפחתי, רמת אפרים, נתניה,0,1,0,0,,0,1,0,0,0,0,0,0,"3,350,000 ₪"
